"SPID","SpeciesID","ScientificName","Taxon","Family","Genus","Species","Infraspecific","BOLDID","CommonName","MicroLep","Specialist","wtMPD","Records","Hosts","Notes"
96,"VITLA","Vitis labrusca","Plantae","Vitaceae","Vitis","labrusca","",NA,"Fox Grape",NA,NA,NA,NA,NA,""
97,"PRUXX","Prunus","Plantae","Rosaceae","Prunus","","",NA,"Cherry",NA,NA,NA,NA,NA,""
98,"UNKXX","","Plantae","","","","",NA,"Unknown Plant",NA,NA,NA,NA,NA,"Unknown Plant"
99,"AROAR","Aronia arbutifolia","Plantae","Rosaceae","Aronia","arbutifolia","",NA,"Red chokeberry",NA,NA,NA,NA,NA,""
100,"CORAL","Cornus alternifolia","Plantae","Cornaceae","Cornus","alternifolia","",NA,"Alternate-leaved dogwood",NA,NA,NA,NA,NA,"FNA uses Swida instead of Cornus, but this is not the consensus"
101,"SAMNI","Sambucus nigra","Plantae","Adoxaceae","Sambucus","nigra","",NA,"Black Elderberry",NA,NA,NA,NA,NA,""
102,"LARLA","Larix laricina","Plantae","Pinaceae","Larix","laricina","",NA,"American Larch",NA,NA,NA,NA,NA,""
103,"ACEPL","Acer platanoides","Plantae","Sapindaceae","Acer","platanoides","",NA,"Norway Maple",NA,NA,NA,NA,NA,""
104,"AKEQU","Akebia quinata","Plantae","Lardizabalaceae","Akebia","quinata","",NA,"Chocolate Vine",NA,NA,NA,NA,NA,""
105,"FRAAL","Frangula alnus","Plantae","Rhamnaceae","Frangula","alnus","",NA,"Glossy Buckthorn",NA,NA,NA,NA,NA,""
106,"LIGVU","Ligustrum vulgare","Plantae","Oleaceae","Ligustrum","vulgare","",NA,"European Privet",NA,NA,NA,NA,NA,""
107,"CELSC","Celastrus scandens","Plantae","Celastraceae","Celastrus","scandens","",NA,"American Bittersweet",NA,NA,NA,NA,NA,""
108,"CELOC","Celtis occidentalis","Plantae","Cannabaceae","Celtis","occidentalis","",NA,"Hackberry",NA,NA,NA,NA,NA,""
109,"ACHADI","Achatia distincta","Lepidoptera","Noctuidae","Achatia","distincta","",NA,"Distinct Quaker","no","no",190.37,118,23,""
110,"ACROBX","Acrobasis","Lepidoptera","Pyralidae","Acrobasis","","",NA,"","yes","",0,2,1,""
111,"ACRONX","Acronicta","Lepidoptera","Noctuidae","Acronicta","","",NA,"Dagger Moths","no","",NA,NA,NA,""
112,"ACROAM","Acronicta americana","Lepidoptera","Noctuidae","Acronicta","americana","",NA,"American Dagger Moth","no","no",NA,NA,NA,""
113,"ACROIN","Acronicta interrupta","Lepidoptera","Noctuidae","Acronicta","interrupta","",NA,"Interrupted Dagger Moth","no","",181.3,2,2,""
114,"ACROLA","Acronicta laetifica","Lepidoptera","Noctuidae","Acronicta","laetifica","",NA,"Pleasant Dagger Moth","no","yes",17.13,3,2,"Betulaceae: Carpinus (mostly), Ostrya, Corylus"
115,"ACROOV","Acronicta ovata","Lepidoptera","Noctuidae","Acronicta","ovata","",NA,"Ovate Dagger Moth","no","yes",NA,NA,NA,"Fagaceae, especially Quercus alba"
116,"ALLOEL","Allotria elonympha","Lepidoptera","Erebidae","Allotria","elonympha","",NA,"False Underwing Moth","no","yes",0,1,1,"Nyssa specialist"
117,"ALSOXX","Alsophila","Lepidoptera","Geometridae","Alsophila","","",NA,"","no","",NA,NA,NA,""
118,"AMPHXX","Amphipyra","Lepidoptera","Noctuidae","Amphipyra","","",NA,"","no","",NA,NA,NA,""
119,"AMPHPY","Amphipyra pyramidoides","Lepidoptera","Noctuidae","Amphipyra","pyramidoides","",NA,"Copper Underwing","no","no",188.5,26,11,""
120,"PLAGPU","Plagodis pulveraria","Lepidoptera","Geometridae","Plagodis","pulveraria","",NA,"American Barred Umber Moth","no","",54.99,9,2,"syn. Anagoga occiduaria"
121,"ANTEXX","Antepione","Lepidoptera","Geometridae","Antepione","","",NA,"","no","",0,1,1,""
122,"BAILOP","Baileya ophthalmica","Lepidoptera","Nolidae","Baileya","ophthalmica","",NA,"Eyed Baileya","no","yes",0,4,1,"Carpinus, Ostrya"
123,"BESMXX","Besma","Lepidoptera","Geometridae","Besma","","",NA,"","no","",NA,NA,NA,""
124,"BESMQU","Besma quercivoraria","Lepidoptera","Geometridae","Besma","quercivoraria","",NA,"Oak Besma","no","no",190.47,6,6,""
125,"BISTBE","Biston betularia","Lepidoptera","Geometridae","Biston","betularia","",NA,"Cleft-Headed Looper","no","no",0,1,1,""
126,"HYPEBA","Hypena baltimoralis","Lepidoptera","Erebidae","Hypena","baltimoralis","",NA,"Baltimore Bomolocha","no","yes",0,14,1,"syn. Bomolocha baltimoralis"
127,"CALLER","Callophrys eryphon","Lepidoptera","Lycaenidae","Callophrys","eryphon","",NA,"Western Pine Elfin","no","",NA,NA,NA,""
128,"CALLNI","Callophrys niphon","Lepidoptera","Lycaenidae","Callophrys","niphon","",NA,"Eastern Pine Elfin","no","yes",0,1,1,"Pinus"
129,"CATOXX","Catocala","Lepidoptera","Erebidae","Catocala","","",NA,"Underwing Moths","no","",149.79,3,2,""
130,"CATOLI","Catocala lineella","Lepidoptera","Erebidae","Catocala","lineella","",NA,"Steely Underwing","no","yes",0,1,1,"Quercus (red oak group)"
131,"CATOUL","Catocala ultronia","Lepidoptera","Erebidae","Catocala","ultronia","",NA,"Ultronia Underwing","no","yes",0,1,1,"Prunus (mostly), Malus, Crataegus, Rosaceae"
132,"CELALA","Celastrina ladon","Lepidoptera","Lycaenidae","Celastrina","ladon","",NA,"Spring Azure","no","yes",0,1,1,""
133,"CHIOXX","Chionodes","Lepidoptera","Gelechiidae","Chionodes","","",NA,"","yes","",0,1,1,""
134,"CLADXX","Cladara","Lepidoptera","Geometridae","Cladara","","",NA,"","no","",0,1,1,""
135,"CLADAT","Cladara atroliturata","Lepidoptera","Geometridae","Cladara","atroliturata","",NA,"Scribbler Moth","no","no",153.48,31,10,""
136,"CLADLI","Cladara limitaria","Lepidoptera","Geometridae","Cladara","limitaria","",NA,"Yellow-lined Conifer Looper","no","yes",202.48,49,3,"Possibly 2 spp, one on Kalmia/Ericaceae, and another on Tsuga."
137,"CORYME","Coryphista meadii","Lepidoptera","Geometridae","Coryphista","meadii","",NA,"Barberry Looper","no","yes",0,5,1,"Berberis thunbergii"
138,"COSMCA","Cosmia calami","Lepidoptera","Noctuidae","Cosmia","calami","",NA,"American Dun-bar","no","yes",128.63,4,4,"Fagaceae, especially Quercus alba"
139,"CROCNO","Crocigrapha normani","Lepidoptera","Noctuidae","Crocigrapha","normani","",NA,"Normans Quaker","no","no",230.76,70,21,""
140,"CYCLPE","Cyclophora pendulinaria","Lepidoptera","Geometridae","Cyclophora","pendulinaria","",NA,"Sweetfern Geometer Moth","no","",0,6,1,""
141,"DARAXX","Darapsa","Lepidoptera","Sphingidae","Darapsa","","",NA,"","no","",NA,NA,NA,""
142,"DARACH","Darapsa choerilus","Lepidoptera","Sphingidae","Darapsa","choerilus","",NA,"Azalea Sphinx","no","yes",0,14,1,"Kalmia (mostly), Azalea, Viburnum"
143,"DRASGR","Drasteria grandirena","Lepidoptera","Erebidae","Drasteria","grandirena","",NA,"Figure-Seven Moth","no","yes",0,2,1,"Hamamelis virginiana"
144,"ECTRCR","Ectropis crepuscularia","Lepidoptera","Geometridae","Ectropis","crepuscularia","",NA,"Saddleback Looper","no","no",207.79,27,14,""
145,"ENNOXX","Ennomos","Lepidoptera","Geometridae","Ennomos","","",NA,"","no","",NA,NA,NA,""
146,"ENNOSU","Ennomos subsignaria","Lepidoptera","Geometridae","Ennomos","subsignaria","",NA,"Ennomos Subsignaria","no","no",191.18,92,18,""
147,"EPIMHO","Epimecis hortaria","Lepidoptera","Geometridae","Epimecis","hortaria","",NA,"Tulip-Tree Beauty","no","yes",0,40,1,"Lauraceae, Magnoliaceae (primarily Lindera benzoin)"
148,"EUGOXX","Eugonobapta","Lepidoptera","Geometridae","Eugonobapta","","",NA,"","","",NA,NA,NA,""
149,"EUPIXX","Eupithecia","Lepidoptera","Geometridae","Eupithecia","","",NA,"Pugs","no","no",227,94,22,"Generalists for the most part, especially those w/o names"
150,"EUPICA","Eupithecia catkin","Lepidoptera","Geometridae","Eupithecia","catkin","",NA,"Catkin Eupithecia","no","",NA,NA,NA,""
151,"EUPIGR","Eupithecia green","Lepidoptera","Geometridae","Eupithecia","green","",NA,"Green Eupithecia","no","no",NA,NA,NA,"syn. Eupithecia swettii"
152,"EUPIIC","Eupithecia icterata","Lepidoptera","Geometridae","Eupithecia","icterata","",NA,"Tawny speckled pug","no","",235.41,4,4,""
153,"EUPIMI","Eupithecia miserulata","Lepidoptera","Geometridae","Eupithecia","miserulata","",NA,"Common Pug","no","no",146.31,7,3,""
154,"EUPIPB","Eupithecia plumbers butt","Lepidoptera","Geometridae","Eupithecia","plumbers butt","",NA,"Plumber's Butt","no","no",NA,NA,NA,"syn. Eupithecia swettii"
155,"EUPISP","Eupithecia speedracer","Lepidoptera","Geometridae","Eupithecia","speedracer","",NA,"Speedracer Eupithecia","no","no",NA,NA,NA,"syn. Eupithecia swettii"
156,"EUPIVA","Eupithecia variegated","Lepidoptera","Geometridae","Eupithecia","variegated","",NA,"Variegated Eupithecia","no","no",193.23,92,17,""
157,"EUPSXX","Eupsilia","Lepidoptera","Noctuidae","Eupsilia","","",NA,"","no","",208.11,14,7,""
158,"EUPSSC","Eupsilia schweitzeri","Lepidoptera","Noctuidae","Eupsilia","schweitzeri","",NA,"Schweitzer's Sallow","no","no",316.8,8,8,""
159,"EUTRCL","Eutrapela clemataria","Lepidoptera","Geometridae","Eutrapela","clemataria","",NA,"Purplish-brown looper","no","no",224.43,45,20,""
160,"GEINXX","Geina","Lepidoptera","Pterophoridae","Geina","","",NA,"","yes","",NA,NA,NA,""
161,"HETEXX","Heterocampa","Lepidoptera","Notodontidae","Heterocampa","","",NA,"","no","",0,1,1,""
162,"HETEBI","Heterocampa biundata","Lepidoptera","Notodontidae","Heterocampa","biundata","",NA,"Wavy-lined Heterocampa","no","no",207.53,7,5,""
163,"HIMEXX","Himella","Lepidoptera","Noctuidae","Himella","","",NA,"","no","",NA,NA,NA,""
164,"HIMEFI","Himella fidelis","Lepidoptera","Noctuidae","Himella","fidelis","",NA,"Intractable Quaker","no","no",175.03,84,16,"syn: Himella intractata"
166,"HYDRXX","Hydrelia","Lepidoptera","Geometridae","Hydrelia","","",NA,"","no","",NA,NA,NA,""
167,"HYDRIN","Hydrelia inornata","Lepidoptera","Geometridae","Hydrelia","inornata","",NA,"Unadorned Carpet","no","yes",NA,NA,NA,"Betula"
168,"HYPAXX","Hypagyrtis","Lepidoptera","Geometridae","Hypagyrtis","","",NA,"","no","",NA,NA,NA,""
169,"HYPAUN","Hypagyrtis unipunctata","Lepidoptera","Geometridae","Hypagyrtis","unipunctata","",NA,"One-Spotted Variant","no","no",168.91,12,6,""
170,"HYPESC","Hypercompe scribonia","Lepidoptera","Erebidae","Hypercompe","scribonia","",NA,"Giant Leopard Moth","no","no",NA,NA,NA,"Unlikely to be on woody plants"
171,"HYPOFU","Hypoprepia fucosa","Lepidoptera","Erebidae","Hypoprepia","fucosa","",NA,"Painted Lichen Moth","no","",NA,NA,NA,"Lichen feeder"
172,"IRIDXX","Iridopsis","Lepidoptera","Geometridae","Iridopsis","","",NA,"","no","",NA,NA,NA,""
173,"IRIDEP","Iridopsis ephyraria","Lepidoptera","Geometridae","Iridopsis","ephyraria","",NA,"Pale-Winged Gray","no","no",209.89,124,20,""
174,"LAMBXX","Lambdina","Lepidoptera","Geometridae","Lambdina","","",NA,"","no","no",NA,NA,NA,""
175,"LAMBFE","Lambdina fervidaria","Lepidoptera","Geometridae","Lambdina","fervidaria","",NA,"Curve-lined Looper ","no","no",154.71,26,8,""
176,"LAMBFI","Lambdina fiscellaria","Lepidoptera","Geometridae","Lambdina","fiscellaria","",NA,"Hemlock Looper","no","no",228.51,107,17,""
177,"LITHXX","Lithophane","Lepidoptera","Noctuidae","Lithophane","","",NA,"","no","",263.87,15,10,""
178,"LITHAN","Lithophane antennata","Lepidoptera","Noctuidae","Lithophane","antennata","",NA,"Ashen Pinion","no","no",161.62,43,15,""
179,"LITHPE","Lithophane petulca","Lepidoptera","Noctuidae","Lithophane","petulca","",NA,"Wanton Pinion","no","",NA,NA,NA,""
180,"LOMOXX","Lomographa","Lepidoptera","Geometridae","Lomographa","","",NA,"","no","",0,1,1,""
181,"LOMOGL","Lomographa glomeraria","Lepidoptera","Geometridae","Lomographa","glomeraria","",NA,"Gray Spring Moth","no","yes",0,2,1,"Prunus serotina, probably Rosaceae"
182,"LYMADI","Lymantria dispar","Lepidoptera","Erebidae","Lymantria","dispar","",NA,"Gypsy Moth","no","no",229.19,1880,42,""
183,"MACHXX","Machimia","Lepidoptera","Depressariidae","Machimia","","",NA,"","yes","",NA,NA,NA,""
184,"MACHTE","Machimia tentoriferella","Lepidoptera","Depressariidae","Machimia","tentoriferella","",NA,"Gold-striped Leaftier","yes","no",209.29,24,10,""
185,"MALAXX","Malacosoma","Lepidoptera","Lasiocampidae","Malacosoma","","",NA,"","no","",247.47,2,2,""
186,"MALAAM","Malacosoma americana","Lepidoptera","Lasiocampidae","Malacosoma","americana","",NA,"Eastern Tent Caterpillar","no","no",205.92,4,4,""
187,"MALADI","Malacosoma disstria","Lepidoptera","Lasiocampidae","Malacosoma","disstria","",NA,"Forest Tent","no","no",199.53,111,20,""
188,"MELAXX","Melanolophia","Lepidoptera","Geometridae","Melanolophia","","",NA,"","no","",NA,NA,NA,""
189,"MELACA","Melanolophia canadaria","Lepidoptera","Geometridae","Melanolophia","canadaria","",NA,"Canadian Melanophia","no","no",217.45,369,32,""
190,"METAXX","Metarranthis","Lepidoptera","Geometridae","Metarranthis","","",NA,"","no","",0,1,1,""
191,"METAAN","Metarranthis angularia","Lepidoptera","Geometridae","Metarranthis","angularia","",NA,"Angled Metarranthis Moth","no","",0,3,1,""
192,"MORRXX","Morrisonia","Lepidoptera","Noctuidae","Morrisonia","","",NA,"","no","",0,1,1,""
193,"MORRCO","Morrisonia confusa","Lepidoptera","Noctuidae","Morrisonia","confusa","",NA,"Confused Woodgrain","no","no",202.23,129,26,""
194,"MORREV","Morrisonia evicta","Lepidoptera","Noctuidae","Morrisonia","evicta","",NA,"Bicolored Woodgrain","no","",22.55,85,4,""
195,"MORRLA","Morrisonia latex","Lepidoptera","Noctuidae","Morrisonia","latex","",NA,"Fluid Arches","no","no",206.84,11,7,"syn. Polia latex"
196,"NADAGI","Nadata gibbosa","Lepidoptera","Notodontidae","Nadata","gibbosa","",NA,"Rough Prominent","no","yes",53.64,3,2,"Fagaceae, Quercus, but also occasionally Betulaceae, Rosaceae"
197,"NEMARE","Nematocampa resistaria","Lepidoptera","Geometridae","Nematocampa","resistaria","",NA,"Filament Bearer","no","no",210.47,68,20,""
198,"NEMOXX","Nemoria","Lepidoptera","Geometridae","Nemoria","","",NA,"","no","no",0,1,1,""
199,"NEMOBI","Nemoria bistriaria","Lepidoptera","Geometridae","Nemoria","bistriaria","",NA,"Red-Fringed Emerald","no","no",164.98,3,2,""
200,"NOLAXX","Nola","Lepidoptera","Nolidae","Nola","","",NA,"","no","",NA,NA,NA,""
201,"NOLACL","Nola clethrae","Lepidoptera","Nolidae","Nola","clethrae","",NA,"Sweet Pepperbush Nola Moth","no","yes",0,18,1,"Clethra alnifolia"
202,"NOLATR","Nola triquetrana","Lepidoptera","Nolidae","Nola","triquetrana","",NA,"Three-spotted Nola","no","yes",0,112,1,"Hamamelis virginiana"
203,"ORGYXX","Orgyia","Lepidoptera","Erebidae","Orgyia","","",NA,"","no","no",NA,NA,NA,""
204,"ORGYLE","Orgyia leucostigma","Lepidoptera","Erebidae","Orgyia","leucostigma","",NA,"White-Marked Tussock Moth","no","no",188.8,143,18,""
205,"ORTHXX","Orthosia","Lepidoptera","Orthosia","Orthosia","","",NA,"","no","no",151.42,19,6,""
206,"ORTHHI","Orthosia hibisci","Lepidoptera","Noctuidae","Orthosia","hibisci","",NA,"Speckled Green Fruitworm","no","no",170.13,14,8,""
207,"ORTHRU","Orthosia rubescens","Lepidoptera","Noctuidae","Orthosia","rubescens","",NA,"Ruby Quaker","no","no",221.96,141,22,""
208,"PAPIGL","Papilio glaucus","Lepidoptera","Papilionidae","Papilio","glaucus","",NA,"Eastern Tiger Swallowtal","no","yes",0,1,1,"Magnoliaceae, Prunus"
209,"PARABI","Parallelia bistriaris","Lepidoptera","Erebidae","Parallelia","bistriaris","",NA,"Maple Looper Moth","no","yes",0,2,1,""
210,"PEROXX","Pero","Lepidoptera","Geometridae","Pero","","",NA,"","no","",NA,NA,NA,""
211,"PEROAN","Pero ancetaria","Lepidoptera","Geometridae","Pero","ancetaria","",NA,"Hubner's Pero","no","no",38.89,2,2,""
212,"PHIGST","Phigalia strigataria","Lepidoptera","Geometridae","Phigalia","strigataria","",NA,"Small Phigalia","no","no",135.65,16,7,""
213,"PHIGTI","Phigalia titea","Lepidoptera","Geometridae","Phigalia","titea","",NA,"Half-Wing","no","no",237.87,12,7,""
214,"PHOBAT","Phoberia atomaris","Lepidoptera","Erebidae","Phoberia","atomaris","",NA,"Common Oak Moth","no","yes",0,1,1,"Quercus"
215,"PHYLAM","Phyllodesma americana","Lepidoptera","Lasiocampidae","Phyllodesma","americana","",NA,"Lappet Moth","no","no",191.58,4,4,""
216,"PLAGXX","Plagodis","Lepidoptera","Geometridae","Plagodis","","",NA,"","no","",NA,NA,NA,""
217,"PLAGAL","Plagodis alcoolaria","Lepidoptera","Geometridae","Plagodis","alcoolaria","",NA,"Hollow-Spotted Plagodis","no","no",NA,NA,NA,""
218,"PLAGFE","Plagodis fervidaria","Lepidoptera","Geometridae","Plagodis","fervidaria","",NA,"Fervid Plagodis","no","no",0,1,1,""
219,"PROCXX","Prochoerodes","Lepidoptera","Geometridae","Prochoerodes","","",NA,"","no","",NA,NA,NA,""
220,"PROCLI","Prochoerodes lineola","Lepidoptera","Geometridae","Prochoerodes","lineola","",NA,"Large Maple Spanworm","no","no",164.65,17,7,""
221,"PROTPO","Protoboarmia porcelaria","Lepidoptera","Geometridae","Protoboarmia","porcelaria","",NA,"Porcelain Gray","no","no",0,1,1,""
222,"PSAPXX","Psaphida","Lepidoptera","Noctuidae","Psaphida","","",NA,"","no","",0,1,1,""
223,"PYREXX","Pyreferra","Lepidoptera","Noctuidae","Pyreferra","","",NA,"","no","yes",NA,NA,NA,""
224,"PYRECI","Pyreferra citrombra","Lepidoptera","Noctuidae","Pyreferra","citrombra","",NA,"Eyed Mustard Sallow","no","yes",206.45,3,3,"Betulaceae, Hamamelis virginiana"
225,"PYREHE","Pyreferra hesperidago","Lepidoptera","Noctuidae","Pyreferra","hesperidago","",NA,"Mustard Sallow","no","yes",0,50,1,"Hamamelis virginiana"
226,"SATYCA","Satyrium calanus","Lepidoptera","Lycaenidae","Satyrium","calanus","",NA,"Banded Hairstreak","no","",195.76,2,2,""
227,"SATYLI","Satyrium liparops","Lepidoptera","Lycaenidae","Satyrium","liparops","",NA,"Striped Hairstreak","no","",33,15,2,"Primarily on Vaccinium, also Prunus serotina, probably Rosaceae"
228,"SCHIXX","Schizura","Lepidoptera","Notodontidae","Schizura","","",NA,"","no","",NA,NA,NA,""
229,"SCHIUN","Schizura unicornis","Lepidoptera","Notodontidae","Schizura","unicornis","",NA,"Unicorn Caterpillar Moth","no","no",0,1,1,""
230,"SPERPU","Speranza pustularia","Lepidoptera","Geometridae","Speranza","pustularia","",NA,"Lesser Maple Spanworm","no","yes",0,158,1,"Acer rubrum"
231,"TETRXX","Tetracis","Lepidoptera","Geometridae","Tetracis","","",NA,"","no","",NA,NA,NA,""
232,"TETRCA","Tetracis cachexiata","Lepidoptera","Geometridae","Tetracis","cachexiata","",NA,"White Slant-Line","no","no",194.31,5,3,""
233,"ZALEXX","Zale","Lepidoptera","Erebidae","Zale","","",NA,"","no","no",357.23,20,8,""
234,"ZALEDU","Zale duplicata","Lepidoptera","Erebidae","Zale","duplicata","",NA,"Pine False Looper","no","yes",0,4,1,"Pinus"
235,"ZALEMI","Zale minerea","Lepidoptera","Erebidae","Zale","minerea","",NA,"Colerful Zale","no","",236.95,2,2,""
236,"ZALEPH","Zale phaeocapna","Lepidoptera","Erebidae","Zale","phaeocapna","",NA,"","no","no",129.06,11,4,"Corylus, Ostrya, Hamamelis"
237,"ZANCPR","Zanclognatha protumnusalis","Lepidoptera","Erebidae","Zanclognatha","protumnusalis","",NA,"Conifer Zanclognatha","no","",0,1,1,"dead leaf feeder"
238,"AGARIS","Agaristinae","Lepidoptera","Noctuidae","","","",NA,"Forester Moths","no","",NA,NA,NA,""
239,"ARCTII","Arctiidae","Lepidoptera","Erebidae","","","",NA,"Tiger Moths","no","",NA,NA,NA,""
240,"EREBID","Erebidae","Lepidoptera","Erebidae","","","",NA,"","no","",NA,NA,NA,""
241,"GELECH","Gelechiidae","Lepidoptera","Gelechiidae","","","",NA,"Twirler Moths","yes","",NA,NA,NA,""
242,"GEOMET","Geometridae","Lepidoptera","Geometridae","","","",NA,"","no","",NA,NA,NA,""
243,"LITHOS","Lithosiini","Lepidoptera","Erebidae","","","",NA,"Lichen Moths","no","",NA,NA,NA,""
244,"LYCAEN","Lycaenidae","Lepidoptera","Lycaenidae","","","",NA,"","no","",NA,NA,NA,""
245,"MICROL","Microlepidoptera","Lepidoptera","","","","",NA,"","yes","",NA,NA,NA,""
246,"NOCTUI","Noctuidae","Lepidoptera","Noctuidae","","","",NA,"Owlet Moths","no","",NA,NA,NA,""
247,"NOLIDA","Nolidae","Lepidoptera","Nolidae","","","",NA,"Nolid Moths","no","",NA,NA,NA,""
248,"NOTODO","Notodontidae","Lepidoptera","Notodontidae","","","",NA,"Prominents","no","",NA,NA,NA,""
249,"OECOPH","Oecophoridae","Lepidoptera","Oecophoridae","","","",NA,"","yes","",NA,NA,NA,""
250,"PIERID","Pieridae","Lepidoptera","Pieridae","","","",NA,"","no","",NA,NA,NA,""
251,"SPHING","Sphingidae","Lepidoptera","Sphingidae","","","",NA,"","no","",NA,NA,NA,""
252,"TORTRI","Tortricidae","Lepidoptera","Tortricidae","","","",NA,"","yes","",NA,NA,NA,""
253,"UNKNXX","Unknown","Lepidoptera","","","","",NA,"","","",NA,NA,NA,""
254,"ZANCXX","Zanclognatha","Lepidoptera","Erebidae","Zanclognatha","","",NA,"","no","",NA,NA,NA,""
255,"ACROIM","Acronicta impleta","Lepidoptera","Noctuidae","Acronicta","impleta","",NA,"Yellow-haired Dagger Moth","no","no",NA,NA,NA,""
256,"ACRORE","Acronicta retardata","Lepidoptera","Noctuidae","Acronicta","retardata","",NA,"Retarded Dagger Moth","no","yes",NA,NA,NA,""
257,"ALSOPO","Alsophila pometaria","Lepidoptera","Geometridae","Alsophila","pometaria","",NA,"Fall Cankerworm","no","no",132.69,5,3,""
258,"CATOIL","Catocala ilia","Lepidoptera","Erebidae","Catocala","ilia","",NA,"Ilia Underwing","no","yes",NA,NA,NA,"Quercus"
259,"DRYORU","Dryocampa rubicunda","Lepidoptera","Saturniidae","Dryocampa","rubicunda","",NA,"Rosy Maple Moth","no","yes",NA,NA,NA,""
260,"EUGONI","Eugonobapta nivosaria","Lepidoptera","Geometridae","Eugonobapta","nivosaria","",NA,"","no","no",244.81,2,2,""
261,"LITHBE","Lithophane bethunei","Lepidoptera","Noctuidae","Lithophane","bethunei","",NA,"Bethunes Pinion","no","no",NA,NA,NA,""
262,"HETEGU","Heterocampa guttivitta","Lepidoptera","Notodontidae","Heterocampa","guttivitta","",NA,"Saddled Prominent","no","no",197.24,4,4,""
263,"PANOXX","Panopoda","Lepidoptera","Erebidae","Panopoda","","",NA,"","no","",0,1,1,""
264,"IRIDLA","Iridopsis larvaria","Lepidoptera","Geometridae","Iridopsis","larvaria","",NA,"Bent-line Gray","no","no",0,1,1,""
265,"JUGCI","Juglans cinerea","Plantae","Juglandaceae","Juglans","cinerea","",NA,"Butternut",NA,NA,NA,NA,NA,""
266,"JUGNI","Juglans nigra","Plantae","Juglandaceae","Juglans","nigra","",NA,"Black Walnut",NA,NA,NA,NA,NA,""
267,"VIBLE","Viburnum lentago","Plantae","Adoxaceae","Viburnum","lentago","",NA,"Nannyberry",NA,NA,NA,NA,NA,""
268,"VIBNU","Viburnum nudum","Plantae","Adoxaceae","Viburnum","nudum","",NA,"Withe-rod",NA,NA,NA,NA,NA,""
269,"QUEIL","Quercus ilicifolia","Plantae","Fagaceae","Quercus","ilicifolia","",NA,"Scrub Oak",NA,NA,NA,NA,NA,""
270,"RHACA","Rhamnus cathartica","Plantae","Rhamnaceae","Rhamnus","cathartica","",NA,"Common Buckthorn",NA,NA,NA,NA,NA,""
271,"MORCA","Morella caroliniensis","Plantae","Myricaceae","Morella","caroliniensis","",NA,"Small Bayberry",NA,NA,NA,NA,NA,"= Morella pensylvanica"
272,"MALPU","Malus pumila","Plantae","Rosaceae","Malus","pumila","",NA,"Cultivated Apple",NA,NA,NA,NA,NA,"= Malus sylvestris"
273,"JUGXX","Juglans","Plantae","Juglandaceae","Juglans","","",NA,"",NA,NA,NA,NA,NA,""
274,"MALXX","Malus","Plantae","Rosaceae","Malus","","",NA,"",NA,NA,NA,NA,NA,""
275,"SMIXX","Smilax","Plantae","Smilacaceae","Smilax","","",NA,"",NA,NA,NA,NA,NA,""
276,"SAMXX","Sambucus","Plantae","Adoxaceae","Sambucus","","",NA,"",NA,NA,NA,NA,NA,""
277,"SALXX","Salix","Plantae","Salicaceae","Salix","","",NA,"",NA,NA,NA,NA,NA,""
278,"DOLBHY","Dolba hyloeus","Lepidoptera","Sphingidae","Dolba","hyloeus","",NA,"Pawpaw Sphinx","no","yes",0,2,1,"Ilex"
279,"PERIAN","Peridea angulosa","Lepidoptera","Phalerinae","Peridea","angulosa","",NA,"Angulose Prominent","no","yes",0,1,1,"Fagaceae, Quercus"
280,"ACLELO","Acleris logiana","Lepidoptera","Tortricidae","Acleris","logiana","",NA,"Black-headed Birch Leaffolder","yes","",0,1,1,""
281,"ACRONN","Acronicta innotata","Lepidoptera","Noctuidae","Acronicta","innotata","",NA,"Birch Dagger","no","yes",0,1,1,"Mostly Betulaceae, especially Betula"
282,"ANTAOS","Antaeotricha osseella","Lepidoptera","Depressariidae","Antaeotricha","osseella","",NA,"","yes","yes",0,1,1,""
283,"ARCHGR","Archips grisea","Lepidoptera","Tortricidae","Archips","grisea","",NA,"Black Shield Leafroller","yes","",169,4,4,""
284,"ARCHPU","Archips purpurana","Lepidoptera","Tortricidae","Archips","purpurana","",NA,"Omnivorous Leafroller","yes","no",0,1,1,""
285,"ARGYJU","Argyrotaenia juglandana","Lepidoptera","Tortricidae","Argyrotaenia","juglandana","",NA,"Hickory Leafroller","yes","",NA,NA,NA,""
286,"ARGYQU","Argyrotaenia quercifoliana","Lepidoptera","Tortricidae","Argyrotaenia","quercifoliana","",NA,"Yellow-winged Oak Leafroller","yes","",137.89,6,4,""
287,"CENODI","Cenopis diluticostana","Lepidoptera","Tortricidae","Cenopis","diluticostana","",NA,"Spring Dead-leaf Roller","yes","",238.39,14,7,"syn. Sparganothis diluticostana"
288,"CENOME","Cenopis mesospila","Lepidoptera","Tortricidae","Cenopis","mesospila","",NA,"White-tailed Fruitworm","yes","",0,1,1,""
289,"CENONI","Cenopis niveana","Lepidoptera","Tortricidae","Cenopis","niveana","",NA,"Aproned Cenopis","yes","",55.93,7,2,""
290,"CHORRO","Choristoneura rosaceana","Lepidoptera","Tortricidae","Choristoneura","rosaceana","",NA,"Rosaceous Leafroller","yes","",170.68,21,9,""
291,"DICHVA","Dichomeris vacciniella","Lepidoptera","Gelechiidae","Dichomeris","vacciniella","",NA,"","yes","yes",0,1,1,"Vaccinium"
