"SPID","SpeciesID","ScientificName","Taxon","Family","Genus","Species","Infraspecific","BOLDID","CommonName","MicroLep","Specialist","wtMPD","Records","Hosts","Notes"
339,"ACROCA","Acrobasis carpinivorella BOLD:ACE8773","Lepidoptera","Pyralidae","Acrobasis","carpinivorella","","BOLD:ACE8773","","yes","yes",32.05,4,2,"Carpinus (corylus)"
340,"AETHIN","Aethalura intertexta","Lepidoptera","Geometridae","Aethalura","intertexta","",NA,"Four-barred Gray ","no","",0,2,1,""
341,"ARGYVE","Argyrotaenia velutinana","Lepidoptera","Tortricidae","Argyrotaenia","velutinana","",NA,"Red-banded Leafroller","yes","no",181.22,3,2,""
342,"CALOXX","Caloptilia","Lepidoptera","Gracillariidae","Caloptilia","","",NA,"","yes","",0,1,1,"leaf miner"
343,"CALOSU","Caloptilia superbifrontella","Lepidoptera","Gracillariidae","Caloptilia","superbifrontella","",NA,"","yes","yes",0,1,1,"Hamamelis. Leaf miner"
344,"CELALU","Celastrina lucia BOLD:ACF0806","Lepidoptera","Lycaenidae","Celastrina","lucia","","BOLD:ACF0806","Lucia Azure","no","yes",0,1,1,"Vaccinium"
345,"CENODF","Cenopis directana-ferreana BOLD:AAB7926","Lepidoptera","Tortricidae","Cenopis","directana-ferreana","","BOLD:AAB7926","","yes","no",235.55,4,4,""
346,"CENOPE","Cenopis pettitana","Lepidoptera","Tortricidae","Cenopis","pettitana","",NA,"Maple-Basswood Leafroller","yes","no",129.72,2,2,""
347,"CHIOPE","Chionodes pereyra BOLD:AAF3315","Lepidoptera","Gelechiidae","Chionodes","pereyra","","BOLD:AAF3315","","yes","",228.46,3,3,"Host listed as Quercus (bugguide, Marquis et al), but we have found on Hamamelis and Betula"
348,"CHIOSO","Chionodes soter BOLD:AAF3316","Lepidoptera","Gelechiidae","Chionodes","soter","","BOLD:AAF3316","","yes","",0,1,1,"Host listed as Quercus (wikipedia)"
349,"CHIOTH","Chionodes thoraceochrella BOLD:AAA4438","Lepidoptera","Gelechiidae","Chionodes","thoraceochrella","","BOLD:AAA4438","","yes","no",237.16,2,2,""
350,"COLEAT","Coleotechnites atrupictella","Lepidoptera","Gelechiidae","Coleotechnites","atrupictella","",NA,"","yes","",0,1,1,"Supposed to feed on conifers"
351,"COLOFL","Colocasia flavicornis","Lepidoptera","Noctuidae","Colocasia","flavicornis","",NA,"Yellowhorn","no","no",0,1,1,""
352,"DICHLI","Dichomeris ligulella","Lepidoptera","Gelechiidae","Dichomeris","ligulella","",NA,"Palmerworm Moth","yes","no",173.75,3,3,""
353,"EUPSMV","Eupsilia morrisoni-vinulenta BOLD:AAB4640","Lepidoptera","Noctuidae","Eupsilia","morrisoni-vinulenta","","BOLD:AAB4640","","no","",0,1,1,""
354,"GRETAD","Gretchena amatana-deludana BOLD:AAA6261","Lepidoptera","Tortricidae","Gretchena","amatana-deludana","","BOLD:AAA6261","","yes","",0,1,1,"Host: deludana = Cary illinoinensis, amatana = unknown. We found it on CARCA"
355,"HERPTH","Herpetogramma thestealis","Lepidoptera","Crambidae","Herpetogramma","thestealis","",NA,"Zigzag Herpetogramma","yes","",0,2,1,""
356,"HOMOXX","Homochlodes","Lepidoptera","Geometridae","Homochlodes","","",NA,"","no","",0,1,1,"Contaminant, fern feeder"
357,"LAMBAF","Lambdina aff. fervidaria BOLD:ACK2293","Lepidoptera","Geometridae","Lambdina","aff. Fervidaria","","BOLD:ACK2293","","no","",0,1,1,""
358,"LITHHB","Lithophane hemina-bethunei BOLD:AAB1070","Lepidoptera","Noctuidae","Lithophane","hemina-bethunei","","BOLD:AAB1070","","no","no",209.24,12,8,""
359,"LITHIP","Lithophane innominata-petulca BOLD:ACE4172","Lepidoptera","Noctuidae","Lithophane","innominata-petulca","","BOLD:ACE4172","","no","no",0,1,1,""
360,"MELASI","Melanolophia signataria","Lepidoptera","Geometridae","Melanolophia","signataria","",NA,"Signate Melanolophia","no","no",179.93,4,4,""
361,"METAN1","Metarranthis n. sp. BOLD:AAP3529","Lepidoptera","Geometridae","Metarranthis","n. sp. BOLD:AAP3529","","BOLD:AAP3529","","no","",0,1,1,""
362,"NITEAT","Nites atrocapitella BOLD:AAI5794","Lepidoptera","Depressariidae","Nites","atrocapitella","","BOLD:AAI5794","","yes","yes",0,1,1,""
363,"PHAENI","Phaecasiophora niveiguttana","Lepidoptera","Tortricidae","Phaecasiophora","niveiguttana","",NA,"Labyrinth Moth","yes","no",0,1,1,""
364,"PLATEX","Platynota exasperatana","Lepidoptera","Tortricidae","Platynota","exasperatana","",NA,"Exasperating Platynota","yes","",0,1,1,""
365,"PSAPRO","Psaphida rolandi","Lepidoptera","Noctuidae","Psaphida","rolandi","",NA,"Roland's Sallow","no","",0,2,1,""
366,"PSEUAH","Pseudexentera aff. haracana BOLD:AAA7132","Lepidoptera","Tortricidae","Pseudexentera","aff. haracana BOLD:AAA7132","","BOLD:AAA7132","","yes","yes",0,1,1,"Likely specialist on Ilex"
367,"PSEUCR","Pseudexentera cressoniana","Lepidoptera","Tortricidae","Pseudexentera","cressoniana","",NA,"Shagbark Hickory Leafroller","yes","yes",0,1,1,"Carya ovata"
368,"PSEUVA","Pseudexentera vaccinii BOLD:ACE4081","Lepidoptera","Tortricidae","Pseudexentera","vaccinii","","BOLD:ACE4081","","yes","yes",26.85,4,2,"Ericaceae, especially Vaccinium. In BOLD as P. oregonana, many misIDs"
369,"PSEUVI","Pseudexentera virginiana","Lepidoptera","Tortricidae","Pseudexentera","virginiana","",NA,"","yes","yes",0,15,1,"Hamamelis. Tends towards early June, earlier than P. costomaculana"
370,"PSYCCA","Psyche casta","Lepidoptera","Psychidae","Psyche","casta","",NA,"Common Bagworm Moth","yes","",0,1,1,"Contaminant, grass, moss, lichen feeder (DLW)"
371,"PUBILA","Pubitelphusa latifasciella BOLD:AAC8095","Lepidoptera","Gelechiidae","Pubitelphusa","latifasciella","","BOLD:AAC8095","","yes","",214.28,6,5,""
372,"PYREN1","Pyreferra n. sp. BOLD:AAD2863","Lepidoptera","Noctuidae","Pyreferra","n. sp. BOLD:AAD2863","","BOLD:AAD2863","","no","",0,1,1,""
373,"ZALEAE","Zale aeruginosa","Lepidoptera","Erebidae","Zale","aeruginosa","",NA,"Green-dusted Zale ","no","no",0,1,1,""
374,"DICHVE","Dichomeris ventrellus","Lepidoptera","Gelechiidae","Dichomeris","ventrellus","",NA,"","yes",NA,0,1,1,""
375,"GELEIO","Gelechioidea","Lepidoptera","","","","",NA,"","yes",NA,NA,NA,NA,""
378,"PLAGSE","Plagodis serinaria","Lepidoptera","Geometridae","Plagodis","serinaria","",NA,"Lemon Plagodis","no","no",0,1,1,""
379,"EUPIFL","Eupithecia fletcherata BOLD:AAA9177","Lepidoptera","Geometridae","Eupithecia","fletcherata","","BOLD:AAA9177","Fletcher's Larch Looper","no",NA,0,2,1,"Alder, Larch, Spruce"
380,"EUPIVI","Eupithecia virgaureata","Lepidoptera","Geometridae","Eupithecia","virgaureata","",NA,"Golden-rod Pug","no",NA,0,1,1,"Goldenrod & ragwort flowers"
382,"CATOFL","Catocala flebilis","Lepidoptera","Erebidae","Catocala","flebilis","",NA,"Mourning underwing","no","yes",0,1,1,""
383,"CATOPA","Catocala palaeogama","Lepidoptera","Erebidae","Catocala","palaeogama","",NA,"Oldwife Underwing","no","yes",0,1,1,"Carya and Juglans"
384,"SAWFLY","Sawfly","Hymenoptera","","","","",NA,"Sawfly",NA,NA,NA,NA,NA,"Contaminant, often look like caterpillars"
385,"LITHQU","Lithophane querquera","Lepidoptera","Noctuidae","Lithophane","querquera","",NA,"Shivering Pinion","no",NA,NA,NA,NA,""
386,"PANTHE","Pantheinae","Lepidoptera","Noctuidae","","","",NA,"","no",NA,NA,NA,NA,""
