site,Deer_captures
BBL,56
BBS,56
BRL,18
BSM,0
BSS,24
CPM,0
CKS,88
FNM,31
GCL,0
GHM,5
GHS,4
HRS,2
LFS,37
MPL,5
MPM,106
MRL,6
MSL,13
MML,15
NHL,4
RVM,1
SGL,15
SLS,32
SML,24
SMS,5
SRS,33
TCM,19
TCS,130
VFL,14
WFS,13
WSS,32
WWS,25
RVS,0
